year,month,province,count,TMAX,TMIN,PPT,TAVG,WS,SOIL,Population,dengue_rate,CCA_1,GPP,GPPperCapita
2017,4,Chanthaburi,23.0,33.06585903,23.97070485,95.50814978,28.51828194,1.485198238,131.414978,532822.0,4.316638577235925,22,131137,0.24611784047955979
2017,5,Chanthaburi,48.0,31.81629956,24.13237885,567.3519824,27.974339205,1.107246696,300.0306167,533010.0,9.005459559858163,22,131137,0.24603103131273335
2017,6,Chanthaburi,46.0,31.30726872,23.95462555,438.8618943,27.630947135,1.349581498,300.0306167,533173.0,8.627593670347148,22,131137,0.24595581546702477
2017,7,Chanthaburi,74.0,30.6345815,24.01894273,315.477533,27.326762115,2.084669604,300.0306167,533496.0,13.870769415328326,22,131137,0.24580690389431223
2017,8,Chanthaburi,46.0,31.01277533,23.96718062,392.7867841,27.489977975,1.287973568,300.0306167,533578.0,8.62104509556241,22,131137,0.24576912841234083
2017,9,Chanthaburi,37.0,31.61585903,23.94669604,402.7856828,27.781277535,1.13660793,300.0306167,533802.0,6.931409024319879,22,131137,0.24566599600600972
2017,10,Chanthaburi,24.0,31.50528634,23.29559471,222.9711454,27.400440525,1.542643172,300.0306167,534014.0,4.494264195320722,22,131137,0.24556846824240564
2017,11,Chanthaburi,12.0,30.92092511,22.28832599,58.13568282,26.60462555,1.818370044,266.8460352,534374.0,2.2456182374142455,22,131137,0.2454030323331599
2017,12,Chanthaburi,5.0,30.23039648,20.55066079,15.76277533,25.390528635,2.349207048,205.6625551,534459.0,0.9355254565831991,22,131137,0.24536400359990196
2017,1,Chiang Mai,49.0,27.73885449,15.00673375,11.9874226,21.37279412,0.782987616,151.2097136,1736665.0,2.821499828694653,50,234973,0.13530128147915688
2017,2,Chiang Mai,27.0,30.66180341,13.59783282,3.354295666,22.129818115,1.181350619,119.6281347,1737160.0,1.55426097768772,50,234973,0.1352627276704506
2017,3,Chiang Mai,35.0,33.1623065,17.00619195,12.83297214,25.084249225,1.533529412,89.35684985,1738109.0,2.013682686183663,50,234973,0.13518887480589536
2017,4,Chiang Mai,42.0,33.7873452,20.47043344,67.58452012,27.12888932,1.305986842,74.97263932,1738810.0,2.415445045749679,50,234973,0.13513437350831892
2017,5,Chiang Mai,191.0,31.61377709,21.45863003,311.7342879,26.53620356,1.342190402,203.1876935,1739538.0,10.979926854141732,50,234973,0.13507781951299713
2017,6,Chiang Mai,352.0,30.40642415,21.72213622,182.1642802,26.064280185,1.414071207,226.1541022,1740272.0,20.226723178905367,50,234973,0.1350208473158219
2017,7,Chiang Mai,648.0,29.27894737,21.30773994,169.6172601,25.293343655,1.254423375,237.5434985,1741082.0,37.218235556969745,50,234973,0.13495803184456562
2017,8,Chiang Mai,329.0,29.499613,21.81524768,189.2501548,25.65743034,1.175503096,238.1440789,1743186.0,18.87348796972899,50,234973,0.13479513947450245
2017,9,Chiang Mai,175.0,30.29647833,21.7499226,176.7723684,26.023200465,1.031037152,238.4386997,1744372.0,10.032263760252974,50,234973,0.1347034921450241
2017,10,Chiang Mai,179.0,29.33989938,20.59500774,205.239822,24.96745356,0.958177245,238.4386997,1745150.0,10.256997965790907,50,234973,0.1346434403919434
2017,11,Chiang Mai,115.0,28.93281734,18.12182663,19.63355263,23.527321985,1.067263932,189.4201625,1745981.0,6.586555065604952,50,234973,0.13457935682003414
2017,12,Chiang Mai,68.0,27.07209752,14.72712848,33.85336687,20.899613,1.13378483,164.485952,1746840.0,3.8927434682054454,50,234973,0.13451317808156443
2017,1,Chiang Rai,15.0,28.04080357,15.23446429,20.15035714,21.63763393,0.789410714,283.4628571,1282853.0,1.169268809442703,57,103596,0.08075438105535085
2017,2,Chiang Rai,14.0,30.8975,13.87098214,2.259464286,22.38424107,1.350080357,226.8930357,1283282.0,1.0909527290182517,57,103596,0.08072738493955342
2017,3,Chiang Rai,5.0,32.440625,16.45848214,18.25723214,24.44955357,1.783098214,168.0415179,1284057.0,0.38939081364768074,57,103596,0.08067866146129027
2017,4,Chiang Rai,20.0,33.48116071,20.24866071,110.0308929,26.86491071,1.566116071,153.5734821,1284825.0,1.5566322261786625,57,103596,0.08063043605160236
2017,5,Chiang Rai,71.0,32.30142857,21.70928571,282.8691964,27.00535714,1.533660714,275.1597321,1284965.0,5.525442327222921,57,103596,0.08062165117337826
2017,6,Chiang Rai,292.0,31.41669643,22.69160714,196.730625,27.054151785,1.608116071,326.6900893,1285024.0,22.72331100430809,57,103596,0.08061794954802401
2017,7,Chiang Rai,409.0,30.10580357,22.41464286,313.3025893,26.260223215,1.385732143,375.4049107,1285868.0,31.807308370688126,57,103596,0.08056503466918843
2017,8,Chiang Rai,349.0,30.25160714,22.82580357,273.3190179,26.538705355,1.336705357,375.5883036,1286071.0,27.13691545801126,57,103596,0.08055231787358552
2017,9,Chiang Rai,233.0,31.23383929,22.475625,166.4290179,26.854732145,1.165955357,375.5883036,1286436.0,18.112055321834898,57,103596,0.08052946279488447
2017,10,Chiang Rai,211.0,30.01321429,20.926875,182.0989286,25.470044645,1.100857143,375.5883036,1286874.0,16.39632162900175,57,103596,0.08050205381412633
2017,11,Chiang Rai,134.0,29.12580357,18.00482143,17.96258929,23.5653125,1.097375,326.0907143,1287274.0,10.409594227802318,57,103596,0.0804770390763738
2017,12,Chiang Rai,61.0,27.10044643,14.68125,44.05428571,20.890848215,1.150866071,303.0246429,1287615.0,4.737440927606467,57,103596,0.08045572628464254
2017,1,Chon Buri,41.0,30.98836735,23.1755102,71.13081633,27.081938775,2.098183673,171.6932653,1485502.0,2.7600097475466208,20,947015,0.637505031968991
2017,2,Chon Buri,35.0,32.11918367,22.09346939,29.8244898,27.10632653,1.851734694,127.5059184,1487407.0,2.3530882939235864,20,947015,0.6366885459057272
2017,3,Chon Buri,35.0,32.74102041,24.31959184,117.3081633,28.530306125,1.487489796,115.6722449,1490555.0,2.3481186537900314,20,947015,0.6353438819768475
2017,4,Chon Buri,39.0,33.13938776,25.28489796,69.55734694,29.21214286,1.387795918,88.74510204,1491464.0,2.6148804128024543,20,947015,0.6349566600333632
2017,5,Chon Buri,75.0,32.1277551,25.4122449,410.4536735,28.770000000000003,1.149142857,284.3073469,1492431.0,5.025357956247223,20,947015,0.6345452486580619
2017,6,Chon Buri,106.0,32.18632653,25.37489796,186.6320408,28.780612245,1.379510204,282.8395918,1495023.0,7.090191923468736,20,947015,0.6334451041890325
2017,7,Chon Buri,128.0,31.59755102,25.31183673,147.64,28.454693875,1.989836735,281.9997959,1497380.0,8.548264301646876,20,947015,0.6324480091893842
2017,8,Chon Buri,46.0,31.9922449,25.19387755,192.8226531,28.593061225,1.318081633,281.8995918,1499947.0,3.0667750260509203,20,947015,0.6313656415860027
2017,9,Chon Buri,49.0,32.26428571,24.81244898,279.9332653,28.538367345,1.185285714,285.0777551,1503122.0,3.25988176608419,20,947015,0.6300320266751468
2017,10,Chon Buri,68.0,31.68306122,24.10591837,221.592449,27.894489795,1.496510204,285.0777551,1505272.0,4.517455981377452,20,947015,0.6291321435594365
2017,11,Chon Buri,62.0,31.23836735,23.32265306,67.4877551,27.280510205,1.79422449,254.1255102,1506582.0,4.115275504419938,20,947015,0.628585101906169
2017,12,Chon Buri,68.0,30.53489796,21.67877551,25.77428571,26.106836735,2.391285714,196.2306122,1509125.0,4.505922305972003,20,947015,0.6275258842044231
2017,1,Chumphon,16.0,30.83291367,22.82751799,268.8683453,26.83021583,2.387410072,341.1455036,507586.0,3.152175197897499,86,86086,0.16959884630387756
2017,2,Chumphon,15.0,32.63794964,21.66169065,52.32464029,27.149820145,2.045881295,291.8847122,507643.0,2.9548324314528123,86,86086,0.16957980312936452
2017,3,Chumphon,21.0,33.49964029,22.8057554,94.40593525,28.152697845,1.146906475,262.7627698,507764.0,4.135779614151456,86,86086,0.16953939231611537
2017,4,Chumphon,22.0,33.32913669,23.53453237,126.5944245,28.43183453,1.519496403,251.4098921,507851.0,4.331979261633825,86,86086,0.1695103485077316
2017,5,Chumphon,50.0,32.0794964,23.30647482,439.9419065,27.69298561,1.113291367,342.2847122,508347.0,9.835801135838315,86,86086,0.16934495531595545
2017,6,Chumphon,32.0,31.24856115,23.10647482,256.8170863,27.177517985,0.782032374,341.7672662,508484.0,6.293216699050511,86,86086,0.16929932898576946
2017,7,Chumphon,42.0,30.90971223,23.36834532,374.3796763,27.139028775,1.370305755,341.9681655,508681.0,8.256648076102705,86,86086,0.16923376339985177
2017,8,Chumphon,23.0,30.71726619,23.09676259,360.1582734,26.90701439,0.396348921,342.277518,508908.0,4.519480927790485,86,86086,0.16915827615207463
2017,9,Chumphon,25.0,31.08741007,22.94064748,314.6258993,27.014028775,0.789244604,342.4377698,509140.0,4.910240798208744,86,86086,0.1690811957418392
2017,10,Chumphon,39.0,31.07284173,23.15197842,201.7483813,27.112410075,1.397877698,342.4377698,509298.0,7.657599283719944,86,86086,0.16902874152264488
2017,11,Chumphon,38.0,30.31546763,23.09586331,201.8989209,26.70566547,1.471780576,342.4363309,509515.0,7.458072873222575,86,86086,0.1689567529905891
2017,12,Chumphon,14.0,30.09946043,21.86654676,160.3514388,25.983003595,2.277733813,340.8030576,509650.0,2.7469832237810263,86,86086,0.1689119984302953
2017,1,Kalasin,28.0,30.27483766,18.67775974,1.941883117,24.4762987,2.271720779,82.42775974,985308.0,2.841751005776874,46,55474,0.05630117689088082
2017,2,Kalasin,5.0,32.13327922,17.95844156,7.862662338,25.04586039,2.316899351,61.67483766,985149.0,0.5075374384991509,46,55474,0.05631026372660379
2017,3,Kalasin,8.0,34.07922078,22.12711039,80.14204545,28.103165585,1.43038961,50.85551948,985152.0,0.8120574287013578,46,55474,0.0563100922497239
