CCA_1,ID_1,ADM1_EN,LATITUDE,LONGITIDE,Month,Year,Population
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2018,378621.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2019,378627.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2019,378531.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2019,378512.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2019,378599.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2019,378729.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2019,378575.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2019,378466.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2019,378379.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2019,378365.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2019,378439.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2019,378523.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2019,378438.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2020,378386.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2020,378250.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2020,378210.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2020,378324.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2020,378637.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2020,378325.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2020,378033.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2020,378030.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2020,376189.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2020,376138.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2020,376175.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2020,376195.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2021,376154.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2021,376095.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2021,376145.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2021,376158.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2021,376342.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2021,376371.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2021,376294.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2021,376228.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2021,376291.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2021,376306.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2021,376417.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2021,376350.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2022,376307.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2022,376283.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2022,376188.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2022,376123.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2022,375981.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2022,375709.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2022,375483.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2022,375442.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2022,375547.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2022,375499.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2022,375608.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2022,375382.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2002,289532.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2002,289496.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2002,289394.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2002,289347.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2002,289417.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2002,289768.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2002,290007.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2002,290007.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2002,290031.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2002,290098.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2002,290302.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2002,290423.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2003,290165.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2003,289934.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2003,290250.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2003,290312.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2003,290120.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2003,290457.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2003,290220.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2003,290457.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2003,290702.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2003,290520.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2003,290726.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2003,290832.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2004,292306.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2004,292334.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2004,292419.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2004,292591.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2004,292617.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2004,293591.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2004,293597.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2004,293659.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2004,293854.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2004,283003.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2004,283019.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2004,283009.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2005,282891.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2005,282882.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2005,282848.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2005,282915.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2005,282992.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2005,283028.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2005,283045.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2005,283169.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2005,283309.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2005,283688.0
