year,month,province,tmax
2006,1,Bangkok,32.05533333
2006,2,Bangkok,32.958
2006,3,Bangkok,33.83448485
2006,4,Bangkok,34.31030303
2006,5,Bangkok,33.16448485
2006,6,Bangkok,33.16321212
2006,7,Bangkok,32.13381818
2006,8,Bangkok,32.00709091
2006,9,Bangkok,31.70151515
2006,10,Bangkok,31.96078788
2006,11,Bangkok,33.04163636
2006,12,Bangkok,31.47478788
2007,1,Bangkok,31.56593939
2007,2,Bangkok,32.65521212
2007,3,Bangkok,34.30418182
2007,4,Bangkok,34.57309091
2007,5,Bangkok,32.40224242
2007,6,Bangkok,34.06527273
2007,7,Bangkok,32.49139394
2007,8,Bangkok,32.44509091
2007,9,Bangkok,31.97751515
2007,10,Bangkok,30.95284848
2007,11,Bangkok,30.38860606
2007,12,Bangkok,32.41715152
2008,1,Bangkok,31.69933333
2008,2,Bangkok,31.10254545
2008,3,Bangkok,33.18181818
2008,4,Bangkok,33.89175758
2008,5,Bangkok,32.41109091
2008,6,Bangkok,32.78218182
2008,7,Bangkok,32.25
2008,8,Bangkok,32.54793939
2008,9,Bangkok,31.52236364
2008,10,Bangkok,31.63951515
2008,11,Bangkok,30.13472727
2008,12,Bangkok,30.19460606
2009,1,Bangkok,29.94121212
2009,2,Bangkok,33.45127273
2009,3,Bangkok,33.38127273
2009,4,Bangkok,34.21406061
2009,5,Bangkok,33.05593939
2009,6,Bangkok,32.85775758
2009,7,Bangkok,31.97181818
2009,8,Bangkok,33.14121212
2009,9,Bangkok,31.89684848
2009,10,Bangkok,31.82751515
2009,11,Bangkok,31.74448485
2009,12,Bangkok,32.30569697
2010,1,Bangkok,31.58066667
2010,2,Bangkok,33.38557576
2010,3,Bangkok,34.28109091
2010,4,Bangkok,35.81921212
2010,5,Bangkok,35.58436364
2010,6,Bangkok,34.51757576
2010,7,Bangkok,33.06751515
2010,8,Bangkok,32.09836364
2010,9,Bangkok,32.24975758
2010,10,Bangkok,30.64357576
2010,11,Bangkok,31.25072727
2010,12,Bangkok,31.4169697
2011,1,Bangkok,30.72642424
2011,2,Bangkok,32.48078788
2011,3,Bangkok,31.10927273
2011,4,Bangkok,33.11909091
2011,5,Bangkok,33.46145455
2011,6,Bangkok,32.62345455
2011,7,Bangkok,32.16369697
2011,8,Bangkok,32.11315152
2011,9,Bangkok,31.22642424
2011,10,Bangkok,31.28660606
2011,11,Bangkok,32.45030303
2011,12,Bangkok,30.41224242
2012,1,Bangkok,31.54993939
2012,2,Bangkok,32.86375758
2012,3,Bangkok,34.2190303
2012,4,Bangkok,34.99430303
2012,5,Bangkok,33.78951515
2012,6,Bangkok,32.95206061
2012,7,Bangkok,32.26272727
2012,8,Bangkok,32.5449697
2012,9,Bangkok,31.31442424
2012,10,Bangkok,32.31478788
2012,11,Bangkok,32.27769697
2012,12,Bangkok,32.93036364
2013,1,Bangkok,31.7709697
2013,2,Bangkok,33.29460606
2013,3,Bangkok,34.02993939
2013,4,Bangkok,35.12181818
2013,5,Bangkok,35.14272727
2013,6,Bangkok,32.84290909
2013,7,Bangkok,31.86448485
