year,month,province,vpd
2003,3,Nong Bua Lam Phu,1.7685353535353536
2003,4,Nong Bua Lam Phu,2.0407575757575755
2003,5,Nong Bua Lam Phu,1.5091919191919192
2003,6,Nong Bua Lam Phu,1.1326767676767675
2003,7,Nong Bua Lam Phu,1.037979797979798
2003,8,Nong Bua Lam Phu,0.9397474747474748
2003,9,Nong Bua Lam Phu,0.826060606060606
2003,10,Nong Bua Lam Phu,0.9456060606060606
2003,11,Nong Bua Lam Phu,1.2645454545454544
2003,12,Nong Bua Lam Phu,1.0677272727272726
2003,1,Nong Khai,0.8977987421383647
2003,2,Nong Khai,1.157987421383648
2003,3,Nong Khai,1.2650943396226415
2003,4,Nong Khai,1.509182389937107
2003,5,Nong Khai,1.330125786163522
2003,6,Nong Khai,1.1333333333333335
2003,7,Nong Khai,0.9276729559748428
2003,8,Nong Khai,0.9428930817610064
2003,9,Nong Khai,0.8178616352201258
2003,10,Nong Khai,0.9429559748427674
2003,11,Nong Khai,1.1686163522012578
2003,12,Nong Khai,0.8902515723270441
2003,1,Nonthaburi,1.250625
2003,2,Nonthaburi,1.38625
2003,3,Nonthaburi,1.4125
2003,4,Nonthaburi,1.66625
2003,5,Nonthaburi,1.4121875
2003,6,Nonthaburi,1.3315625
2003,7,Nonthaburi,1.174375
2003,8,Nonthaburi,1.1884375
2003,9,Nonthaburi,0.9775
2003,10,Nonthaburi,0.969375
2003,11,Nonthaburi,1.4134375
2003,12,Nonthaburi,1.3725
2003,1,Pathum Thani,1.2271232876712328
2003,2,Pathum Thani,1.378082191780822
2003,3,Pathum Thani,1.382876712328767
2003,4,Pathum Thani,1.6445205479452054
2003,5,Pathum Thani,1.4024657534246574
2003,6,Pathum Thani,1.2924657534246575
2003,7,Pathum Thani,1.141095890410959
2003,8,Pathum Thani,1.141095890410959
2003,9,Pathum Thani,0.9342465753424658
2003,10,Pathum Thani,0.9534246575342468
2003,11,Pathum Thani,1.4142465753424658
2003,12,Pathum Thani,1.3353424657534247
2003,1,Pattani,0.8026373626373627
2003,2,Pattani,0.8853846153846154
2003,3,Pattani,0.998901098901099
2003,4,Pattani,1.0404395604395604
2003,5,Pattani,1.002857142857143
2003,6,Pattani,1.0386813186813189
2003,7,Pattani,0.936153846153846
2003,8,Pattani,0.9447252747252748
2003,9,Pattani,0.9061538461538462
2003,10,Pattani,0.7197802197802198
2003,11,Pattani,0.694945054945055
2003,12,Pattani,0.6708791208791209
2003,1,Phangnga,1.128020304568528
2003,2,Phangnga,1.238324873096447
2003,3,Phangnga,1.242994923857868
2003,4,Phangnga,1.0947208121827412
2003,5,Phangnga,0.7943147208121828
2003,6,Phangnga,0.7576649746192893
2003,7,Phangnga,0.64502538071066
2003,8,Phangnga,0.6516243654822336
2003,9,Phangnga,0.6150761421319797
2003,10,Phangnga,0.6033502538071066
2003,11,Phangnga,0.886243654822335
2003,12,Phangnga,0.9745685279187818
2003,1,Phatthalung,1.0102777777777778
2003,2,Phatthalung,1.171
2003,3,Phatthalung,1.2925555555555557
2003,4,Phatthalung,1.1856666666666666
2003,5,Phatthalung,1.0252222222222225
2003,6,Phatthalung,1.0288333333333333
2003,7,Phatthalung,0.9825
2003,8,Phatthalung,0.9806111111111112
2003,9,Phatthalung,0.883
2003,10,Phatthalung,0.7211111111111111
2003,11,Phatthalung,0.8110555555555556
2003,12,Phatthalung,0.8155555555555556
2003,1,Phayao,0.8107213114754098
2003,2,Phayao,1.4801967213114753
2003,3,Phayao,1.5768852459016394
2003,4,Phayao,1.886262295081968
2003,5,Phayao,1.344655737704918
2003,6,Phayao,0.974983606557377
2003,7,Phayao,0.911016393442623
2003,8,Phayao,0.8082950819672131
2003,9,Phayao,0.7634426229508197
2003,10,Phayao,0.876655737704918
2003,11,Phayao,1.107672131147541
2003,12,Phayao,0.9296065573770492
2003,1,Phetchabun,1.2968543046357617
2003,2,Phetchabun,1.676407284768212
2003,3,Phetchabun,1.7383940397350994
2003,4,Phetchabun,1.875480132450331
2003,5,Phetchabun,1.4384271523178809
2003,6,Phetchabun,1.133791390728477
2003,7,Phetchabun,0.9979635761589404
2003,8,Phetchabun,0.8943377483443707
2003,9,Phetchabun,0.8253476821192053
2003,10,Phetchabun,0.9707119205298014
2003,11,Phetchabun,1.328526490066225
2003,12,Phetchabun,1.265860927152318
2003,1,Phetchaburi,1.1248657718120805
2003,2,Phetchaburi,1.2819127516778523
2003,3,Phetchaburi,1.3419463087248322
2003,4,Phetchaburi,1.4309395973154362
2003,5,Phetchaburi,1.1272818791946309
