year,month,province,ws
2018,2,Bangkok,1.178181818
2018,3,Bangkok,0.250909091
2018,4,Bangkok,0.50969697
2018,5,Bangkok,0.013333333
2018,6,Bangkok,1.003636364
2018,7,Bangkok,2.006060606
2018,8,Bangkok,1.700606061
2018,9,Bangkok,0.652727273
2018,10,Bangkok,0.964848485
2018,11,Bangkok,0.767878788
2018,12,Bangkok,1.493333333
2019,1,Bangkok,1.380606061
2019,2,Bangkok,2.240606061
2019,3,Bangkok,1.961818182
2019,4,Bangkok,1.901818182
2019,5,Bangkok,1.032121212
2019,6,Bangkok,1.241818182
2019,7,Bangkok,1.581818182
2019,8,Bangkok,2.131515152
2019,9,Bangkok,0.636363636
2019,10,Bangkok,1.227272727
2019,11,Bangkok,1.389090909
2019,12,Bangkok,1.285454545
2020,1,Bangkok,1.466666667
2020,2,Bangkok,1.595757576
2020,3,Bangkok,1.973939394
2020,4,Bangkok,1.521818182
2020,5,Bangkok,1.510909091
2020,6,Bangkok,1.28
2020,7,Bangkok,1.17030303
2020,8,Bangkok,1.631515152
2020,9,Bangkok,1.495757576
2020,10,Bangkok,1.42969697
2020,11,Bangkok,1.60969697
2020,12,Bangkok,1.778181818
2021,1,Bangkok,1.618787879
2021,2,Bangkok,1.224848485
2021,3,Bangkok,1.409090909
2021,4,Bangkok,0.452727273
2021,5,Bangkok,1.183030303
2021,6,Bangkok,1.756363636
2021,7,Bangkok,1.736969697
2021,8,Bangkok,1.496363636
2021,9,Bangkok,1.275757576
2021,10,Bangkok,1.497575758
2021,11,Bangkok,1.435757576
2021,12,Bangkok,1.927878788
2022,1,Bangkok,1.306060606
2022,2,Bangkok,1.14969697
2022,3,Bangkok,0.761212121
2022,4,Bangkok,1.111515152
2022,5,Bangkok,1.351515152
2022,6,Bangkok,1.058787879
2022,7,Bangkok,1.498787879
2022,8,Bangkok,1.311515152
2022,9,Bangkok,1.167272727
2022,10,Bangkok,1.442424242
2022,11,Bangkok,1.011515152
2022,12,Bangkok,1.730909091
2003,1,Bueng Kan,1.407851662
2003,2,Bueng Kan,1.15112532
2003,3,Bueng Kan,1.662046036
2003,4,Bueng Kan,1.595012788
2003,5,Bueng Kan,1.476035806
2003,6,Bueng Kan,1.818542199
2003,7,Bueng Kan,1.362915601
2003,8,Bueng Kan,1.334936061
2003,9,Bueng Kan,1.063324808
2003,10,Bueng Kan,1.986470588
2003,11,Bueng Kan,1.028976982
2003,12,Bueng Kan,1.558030691
2004,1,Bueng Kan,1.184731458
2004,2,Bueng Kan,1.539769821
2004,3,Bueng Kan,1.693503836
2004,4,Bueng Kan,1.363094629
2004,5,Bueng Kan,1.507672634
2004,6,Bueng Kan,2.050946292
2004,7,Bueng Kan,1.262762148
2004,8,Bueng Kan,1.434526854
2004,9,Bueng Kan,1.304092072
2004,10,Bueng Kan,1.930997442
2004,11,Bueng Kan,1.356905371
2004,12,Bueng Kan,1.110230179
2005,1,Bueng Kan,1.291304348
2005,2,Bueng Kan,1.589667519
2005,3,Bueng Kan,2.020613811
2005,4,Bueng Kan,1.853043478
2005,5,Bueng Kan,1.616265985
2005,6,Bueng Kan,1.829897698
2005,7,Bueng Kan,1.457186701
2005,8,Bueng Kan,1.594040921
2005,9,Bueng Kan,1.382046036
2005,10,Bueng Kan,2.162225064
2005,11,Bueng Kan,0.898849105
2005,12,Bueng Kan,1.846163683
2006,1,Bueng Kan,1.411074169
2006,2,Bueng Kan,1.906393862
2006,3,Bueng Kan,1.456368286
2006,4,Bueng Kan,1.720639386
2006,5,Bueng Kan,1.583606138
2006,6,Bueng Kan,1.654245524
